ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
19,Karnataka,Bangalore,Locality B,Villa,2,2395,184.18,7690.04,2016,Unfurnished,8,5,9,6,7,2,1,Gated,Clubhouse,South,Agent,Ready to Move
20,Karnataka,Bangalore,Locality B,Villa,3,1037,57.42,5537.24,2009,Fully-Furnished,15,6,16,8,7,1,0,CCTV,None,East,Agent,Under Construction
21,Delhi,New Delhi,Locality B,Independent House,5,1074,97.02,9033.6,1995,Unfurnished,1,12,30,6,1,4,2,Gated,None,West,Individual,Ready to Move
22,Telangana,Hyderabad,Locality B,Villa,5,1273,65.77,5166.28,2005,Semi-Furnished,19,21,20,3,7,4,0,None,Clubhouse,East,Builder,Ready to Move
23,Karnataka,Bangalore,Locality B,Apartment,1,616,50.09,8131.0,2023,Unfurnished,1,20,2,1,1,3,1,Gated,Clubhouse,West,Agent,Ready to Move
24,Tamil Nadu,Chennai,Locality A,Independent House,2,3647,223.77,6135.84,2018,Unfurnished,14,24,7,5,6,1,1,Gated,None,West,Builder,Under Construction
25,Tamil Nadu,Chennai,Locality A,Villa,1,2135,144.92,6788.04,1999,Fully-Furnished,10,23,26,5,7,2,1,CCTV,None,North,Individual,Ready to Move
26,Telangana,Hyderabad,Locality A,Independent House,2,3587,149.19,4159.07,2022,Fully-Furnished,5,16,3,4,8,4,0,Guard,Gym,North,Builder,Ready to Move
27,Telangana,Hyderabad,Locality B,Apartment,5,784,41.45,5287.53,2012,Semi-Furnished,10,6,13,2,3,2,0,Guard,Gym,East,Builder,Ready to Move
28,Karnataka,Bangalore,Locality A,Independent House,5,3646,154.41,4235.12,1999,Unfurnished,3,20,26,9,5,1,0,None,Pool,North,Agent,Under Construction
29,Tamil Nadu,Coimbatore,Locality B,Apartment,5,3940,332.51,8439.45,2006,Semi-Furnished,13,23,19,3,9,2,0,Gated,None,West,Individual,Ready to Move
30,Delhi,New Delhi,Locality A,Independent House,1,575,34.02,5915.88,2005,Unfurnished,4,20,20,4,3,2,0,Gated,Clubhouse,North,Individual,Under Construction
31,Karnataka,Bangalore,Locality B,Villa,2,2945,195.82,6649.18,2001,Unfurnished,6,11,24,7,2,3,0,CCTV,Gym,West,Builder,Ready to Move
32,Karnataka,Bangalore,Locality A,Villa,2,3181,142.77,4488.09,1997,Unfurnished,7,17,28,5,6,3,0,None,None,South,Agent,Ready to Move
33,Tamil Nadu,Coimbatore,Locality A,Villa,3,1705,93.64,5492.34,1992,Semi-Furnished,8,13,33,3,7,2,0,Guard,Gym,East,Individual,Under Construction
34,Maharashtra,Nagpur,Locality A,Apartment,1,2031,91.34,4497.35,1995,Unfurnished,15,20,30,1,6,1,1,CCTV,Gym,East,Individual,Under Construction
35,Delhi,New Delhi,Locality A,Apartment,4,2182,97.16,4452.61,2004,Semi-Furnished,3,20,21,9,1,2,2,Guard,Gym,East,Builder,Under Construction
36,Telangana,Hyderabad,Locality A,Independent House,4,3979,239.3,6013.96,2017,Semi-Furnished,17,13,8,4,8,2,0,Gated,Gym,West,Individual,Under Construction
37,Tamil Nadu,Chennai,Locality A,Villa,3,2081,185.94,8935.22,1994,Semi-Furnished,18,17,31,2,3,4,2,Gated,Clubhouse,West,Individual,Under Construction
38,Maharashtra,Pune,Locality A,Apartment,1,723,45.26,6260.43,2016,Semi-Furnished,9,7,9,9,6,3,0,Guard,Gym,North,Agent,Under Construction
39,Telangana,Hyderabad,Locality A,Apartment,5,2500,249.96,9998.31,2012,Semi-Furnished,10,23,13,6,3,1,0,Gated,Gym,South,Individual,Under Construction
40,Maharashtra,Nagpur,Locality C,Independent House,5,1184,62.08,5243.37,2021,Semi-Furnished,2,7,4,1,1,4,1,Guard,Pool,West,Individual,Under Construction
41,Telangana,Hyderabad,Locality C,Independent House,3,888,57.02,6420.9,2003,Fully-Furnished,6,6,22,7,5,1,1,CCTV,Pool,South,Builder,Under Construction
42,Delhi,New Delhi,Locality C,Villa,2,2982,181.59,6089.53,2004,Fully-Furnished,17,9,21,6,1,4,1,Gated,None,South,Individual,Under Construction
43,Maharashtra,Mumbai,Locality C,Villa,5,3093,188.19,6084.48,2005,Unfurnished,3,7,20,3,9,3,2,Guard,Gym,West,Builder,Ready to Move
44,Karnataka,Bangalore,Locality A,Villa,5,3974,199.24,5013.61,1990,Semi-Furnished,2,21,35,6,5,2,0,CCTV,Pool,North,Agent,Ready to Move
45,Karnataka,Bangalore,Locality C,Apartment,1,2594,210.81,8126.71,1990,Fully-Furnished,15,18,35,8,1,2,0,CCTV,None,East,Builder,Under Construction
46,Karnataka,Bangalore,Locality C,Independent House,3,3213,177.18,5514.62,2012,Unfurnished,18,10,13,7,3,3,1,Guard,Clubhouse,East,Individual,Ready to Move
47,Tamil Nadu,Coimbatore,Locality B,Independent House,1,1213,109.71,9044.26,2002,Unfurnished,13,22,23,6,9,1,0,Guard,None,East,Builder,Under Construction
48,Maharashtra,Nagpur,Locality A,Apartment,5,2972,183.62,6178.49,1995,Unfurnished,6,10,30,2,8,3,0,Guard,None,West,Builder,Ready to Move
49,Maharashtra,Nagpur,Locality B,Independent House,3,3446,141.61,4109.45,2020,Fully-Furnished,6,21,5,5,4,4,1,CCTV,None,South,Agent,Under Construction
50,Maharashtra,Pune,Locality C,Apartment,3,1346,100.0,7429.68,2015,Unfurnished,12,19,10,3,5,2,1,Gated,Pool,South,Builder,Ready to Move
51,Delhi,New Delhi,Locality C,Villa,3,3392,256.55,7563.3,1999,Semi-Furnished,13,12,26,6,2,4,0,CCTV,None,North,Agent,Ready to Move
52,Maharashtra,Mumbai,Locality A,Apartment,3,3324,227.33,6839.0,2019,Semi-Furnished,12,22,6,6,7,3,2,CCTV,Gym,West,Agent,Ready to Move
53,Karnataka,Mysore,Locality C,Apartment,1,2070,174.85,8446.72,2003,Unfurnished,5,23,22,6,8,3,1,Guard,Pool,South,Builder,Under Construction
54,Maharashtra,Mumbai,Locality A,Villa,1,1565,126.73,8097.89,2003,Unfurnished,15,5,22,8,7,4,2,Gated,Gym,North,Agent,Ready to Move
55,Karnataka,Mysore,Locality B,Independent House,3,1320,95.79,7257.1,1996,Fully-Furnished,1,24,29,6,6,3,2,CCTV,Clubhouse,East,Individual,Under Construction
56,Maharashtra,Mumbai,Locality A,Independent House,5,3568,309.4,8671.43,1991,Semi-Furnished,1,10,34,1,4,2,1,Gated,Clubhouse,East,Individual,Under Construction
57,Telangana,Hyderabad,Locality C,Villa,5,2562,185.47,7239.16,2020,Fully-Furnished,5,24,5,4,2,3,2,Guard,Pool,South,Builder,Under Construction
58,Karnataka,Mysore,Locality C,Apartment,4,862,81.64,9471.11,2022,Unfurnished,8,14,3,8,2,1,2,Gated,None,East,Builder,Ready to Move
59,Delhi,New Delhi,Locality B,Villa,1,3600,343.92,9553.41,2010,Fully-Furnished,1,23,15,7,1,2,1,None,Clubhouse,North,Agent,Ready to Move
60,Tamil Nadu,Chennai,Locality C,Villa,4,701,61.17,8726.74,2014,Semi-Furnished,7,22,11,9,3,3,1,Guard,Pool,East,Individual,Under Construction
61,Delhi,New Delhi,Locality A,Apartment,4,1454,137.79,9476.5,1996,Unfurnished,11,22,29,6,8,1,1,Gated,Gym,East,Individual,Under Construction
62,Maharashtra,Mumbai,Locality B,Independent House,4,647,46.65,7210.42,1990,Fully-Furnished,19,21,35,8,1,3,0,Gated,Gym,South,Agent,Under Construction
63,Maharashtra,Pune,Locality A,Independent House,2,1894,135.35,7146.34,1993,Fully-Furnished,3,14,32,1,2,2,0,CCTV,Clubhouse,South,Builder,Under Construction
64,Maharashtra,Nagpur,Locality C,Independent House,4,554,50.07,9038.73,1992,Unfurnished,8,19,33,7,8,1,2,Gated,Clubhouse,East,Individual,Under Construction
65,Karnataka,Bangalore,Locality C,Independent House,3,2643,258.38,9775.9,2010,Semi-Furnished,7,14,15,4,5,2,1,Guard,Gym,East,Individual,Ready to Move
66,Tamil Nadu,Chennai,Locality B,Independent House,5,2071,135.21,6528.55,1994,Semi-Furnished,3,16,31,2,1,3,2,None,Gym,North,Builder,Under Construction
67,Maharashtra,Pune,Locality C,Villa,4,1576,83.8,5317.06,1999,Fully-Furnished,17,22,26,6,8,1,1,Guard,Gym,South,Individual,Under Construction
68,Karnataka,Bangalore,Locality B,Apartment,1,1804,87.24,4836.14,2000,Semi-Furnished,4,13,25,4,2,3,1,CCTV,Pool,North,Individual,Ready to Move
69,Karnataka,Mysore,Locality B,Apartment,5,2122,86.28,4065.97,1995,Unfurnished,7,14,30,5,9,3,2,Gated,Gym,South,Individual,Under Construction
70,Karnataka,Mysore,Locality A,Independent House,2,2099,104.9,4997.7,2015,Fully-Furnished,4,21,10,1,3,1,0,Guard,Clubhouse,West,Agent,Under Construction
71,Karnataka,Bangalore,Locality C,Apartment,5,3170,218.81,6902.53,2006,Fully-Furnished,2,13,19,4,4,3,1,CCTV,Pool,North,Individual,Ready to Move
72,Maharashtra,Mumbai,Locality A,Independent House,5,1740,141.47,8130.41,1992,Semi-Furnished,6,6,33,9,7,3,1,None,Clubhouse,North,Agent,Ready to Move
73,Maharashtra,Mumbai,Locality A,Apartment,2,1540,125.41,8143.36,1997,Fully-Furnished,5,20,28,1,8,3,2,CCTV,None,North,Builder,Ready to Move
74,Telangana,Hyderabad,Locality B,Villa,5,988,79.23,8019.5,2015,Fully-Furnished,14,19,10,7,1,3,0,Gated,Clubhouse,North,Agent,Under Construction
75,Karnataka,Bangalore,Locality B,Independent House,5,1226,83.92,6845.29,2007,Unfurnished,14,7,18,4,7,3,2,None,None,North,Builder,Ready to Move
76,Tamil Nadu,Chennai,Locality B,Apartment,2,3483,290.78,8348.6,1993,Unfurnished,18,5,32,7,8,1,0,None,Gym,South,Builder,Under Construction
77,Delhi,New Delhi,Locality C,Independent House,2,3741,154.41,4127.62,2021,Semi-Furnished,17,16,4,7,2,4,2,Gated,None,West,Agent,Ready to Move
78,Karnataka,Mysore,Locality B,Villa,4,1420,119.64,8425.49,2003,Semi-Furnished,5,20,22,1,3,1,1,Gated,Gym,South,Agent,Ready to Move
79,Maharashtra,Mumbai,Locality C,Villa,4,3915,207.87,5309.52,1995,Fully-Furnished,13,6,30,5,5,3,2,Gated,Clubhouse,West,Agent,Under Construction
80,Telangana,Hyderabad,Locality A,Apartment,5,1833,164.67,8983.86,1992,Semi-Furnished,15,21,33,2,9,2,1,Gated,Clubhouse,West,Builder,Ready to Move
81,Tamil Nadu,Chennai,Locality B,Apartment,2,2966,206.05,6947.12,2021,Unfurnished,15,13,4,1,8,3,2,None,Pool,North,Builder,Ready to Move
82,Maharashtra,Nagpur,Locality A,Independent House,4,3182,218.29,6860.06,2001,Unfurnished,5,15,24,3,9,2,1,Guard,Pool,West,Agent,Under Construction
83,Delhi,New Delhi,Locality A,Villa,2,1699,122.25,7195.62,2006,Unfurnished,19,7,19,5,5,1,1,None,None,South,Agent,Ready to Move
84,Tamil Nadu,Chennai,Locality B,Independent House,3,1785,164.38,9208.96,2014,Fully-Furnished,6,11,11,1,9,1,0,Gated,Clubhouse,North,Builder,Ready to Move
85,Delhi,New Delhi,Locality B,Apartment,2,1554,74.18,4773.22,2007,Unfurnished,12,11,18,5,7,3,1,CCTV,None,North,Builder,Ready to Move
86,Maharashtra,Mumbai,Locality B,Independent House,2,2564,200.1,7804.03,1995,Semi-Furnished,9,6,30,8,3,4,2,Guard,None,West,Agent,Under Construction
87,Tamil Nadu,Chennai,Locality B,Apartment,4,777,39.18,5042.52,2016,Semi-Furnished,1,22,9,4,2,4,0,CCTV,Pool,West,Agent,Ready to Move
88,Telangana,Hyderabad,Locality C,Villa,3,1262,95.49,7566.38,2004,Fully-Furnished,2,18,21,7,1,2,2,CCTV,Gym,West,Individual,Ready to Move
89,Tamil Nadu,Chennai,Locality C,Independent House,5,538,43.91,8162.09,2003,Fully-Furnished,17,16,22,4,2,3,1,None,None,North,Individual,Ready to Move
90,Tamil Nadu,Chennai,Locality A,Independent House,3,583,32.91,5645.29,2004,Unfurnished,12,22,21,3,1,2,1,Guard,None,West,Agent,Under Construction
91,Telangana,Hyderabad,Locality B,Independent House,1,2977,274.23,9211.74,2016,Fully-Furnished,12,7,9,5,8,3,1,None,Pool,East,Individual,Under Construction
92,Maharashtra,Pune,Locality A,Apartment,4,1759,115.77,6581.84,2011,Semi-Furnished,8,15,14,6,9,4,1,None,Gym,North,Individual,Under Construction
93,Karnataka,Mysore,Locality B,Independent House,3,1106,90.36,8169.89,1997,Unfurnished,17,16,28,1,6,1,2,Gated,Pool,West,Agent,Under Construction
94,Telangana,Hyderabad,Locality A,Apartment,2,3220,278.69,8654.83,2022,Semi-Furnished,1,17,3,2,1,2,0,None,Pool,South,Agent,Under Construction
95,Karnataka,Mysore,Locality C,Independent House,2,2669,238.31,8928.64,2000,Semi-Furnished,9,10,25,7,1,4,0,Gated,Clubhouse,East,Individual,Under Construction
96,Telangana,Hyderabad,Locality B,Villa,2,1787,138.53,7751.83,2009,Semi-Furnished,3,13,16,4,7,3,1,None,Pool,South,Agent,Under Construction
97,Telangana,Hyderabad,Locality C,Apartment,4,2634,130.57,4957.27,1997,Fully-Furnished,19,16,28,3,3,3,0,CCTV,Pool,South,Agent,Under Construction
98,Tamil Nadu,Coimbatore,Locality C,Independent House,1,811,56.44,6959.66,2018,Unfurnished,7,16,7,3,3,1,1,Gated,Pool,North,Agent,Under Construction
99,Tamil Nadu,Coimbatore,Locality B,Apartment,5,903,54.86,6075.61,2021,Semi-Furnished,4,6,4,4,8,2,0,Guard,Pool,West,Builder,Ready to Move
100,Karnataka,Bangalore,Locality A,Independent House,2,1894,179.44,9474.18,2010,Semi-Furnished,8,8,15,3,2,4,2,None,Pool,East,Builder,Under Construction
101,Karnataka,Bangalore,Locality A,Villa,5,2840,125.38,4414.8,2003,Fully-Furnished,6,21,22,9,6,4,2,Guard,Gym,North,Builder,Ready to Move
102,Tamil Nadu,Chennai,Locality C,Independent House,1,2546,220.0,8640.84,2012,Semi-Furnished,3,18,13,8,4,1,2,None,Pool,North,Builder,Under Construction
103,Maharashtra,Mumbai,Locality C,Apartment,4,2680,201.73,7527.31,2009,Fully-Furnished,5,16,16,1,9,4,0,Gated,Gym,North,Agent,Ready to Move
104,Telangana,Hyderabad,Locality A,Apartment,5,1774,74.6,4205.13,2009,Fully-Furnished,3,10,16,2,9,3,1,Gated,Gym,East,Individual,Ready to Move
105,Maharashtra,Nagpur,Locality B,Apartment,4,1729,84.55,4890.06,2023,Unfurnished,7,19,2,5,2,4,0,Guard,Pool,East,Builder,Under Construction
106,Tamil Nadu,Coimbatore,Locality C,Apartment,2,1859,96.87,5211.12,2010,Semi-Furnished,5,19,15,7,8,2,0,CCTV,Clubhouse,South,Individual,Ready to Move
107,Karnataka,Bangalore,Locality A,Villa,2,2493,136.24,5464.88,2001,Unfurnished,1,23,24,8,8,1,2,Guard,None,South,Individual,Under Construction
108,Tamil Nadu,Chennai,Locality A,Apartment,2,3791,378.97,9996.48,2014,Unfurnished,9,15,11,6,9,1,0,None,Pool,North,Builder,Under Construction
109,Telangana,Hyderabad,Locality C,Apartment,3,2137,189.06,8847.08,2008,Semi-Furnished,7,19,17,2,9,3,0,Gated,None,South,Agent,Ready to Move
110,Tamil Nadu,Chennai,Locality C,Villa,5,3375,225.86,6692.16,2015,Semi-Furnished,10,6,10,1,1,3,2,CCTV,Gym,East,Individual,Under Construction
111,Karnataka,Mysore,Locality C,Independent House,5,2447,217.36,8882.6,2004,Semi-Furnished,14,22,21,9,5,2,2,None,Clubhouse,East,Individual,Ready to Move
112,Delhi,New Delhi,Locality A,Villa,5,1514,142.14,9388.18,2004,Fully-Furnished,2,18,21,9,4,3,0,Gated,None,West,Individual,Under Construction
113,Delhi,New Delhi,Locality A,Villa,4,2192,158.59,7234.97,2002,Fully-Furnished,7,16,23,4,2,2,1,CCTV,Clubhouse,North,Agent,Ready to Move
114,Maharashtra,Pune,Locality A,Apartment,2,944,89.74,9506.51,1996,Semi-Furnished,15,17,29,4,4,2,1,Guard,Pool,South,Individual,Under Construction
115,Telangana,Hyderabad,Locality B,Independent House,1,3597,283.43,7879.64,1997,Unfurnished,4,22,28,8,9,1,0,None,Clubhouse,West,Agent,Under Construction
116,Maharashtra,Pune,Locality C,Apartment,4,1414,69.26,4898.22,2023,Unfurnished,16,9,2,7,2,1,0,Guard,Clubhouse,West,Agent,Under Construction
117,Delhi,New Delhi,Locality B,Independent House,1,1149,72.91,6345.44,1996,Semi-Furnished,7,13,29,9,9,2,0,Gated,Clubhouse,East,Builder,Ready to Move
118,Telangana,Hyderabad,Locality A,Apartment,2,1741,164.23,9433.15,2022,Fully-Furnished,6,13,3,4,8,1,2,Guard,None,North,Individual,Under Construction
119,Karnataka,Mysore,Locality C,Villa,4,3064,165.53,5402.27,1997,Unfurnished,3,10,28,5,8,2,1,CCTV,Clubhouse,West,Builder,Under Construction
120,Maharashtra,Nagpur,Locality C,Apartment,4,2901,126.51,4360.85,2018,Fully-Furnished,16,14,7,4,5,1,2,CCTV,Pool,North,Agent,Under Construction
121,Telangana,Hyderabad,Locality A,Villa,4,1156,114.3,9887.42,1994,Unfurnished,6,22,31,3,7,4,0,None,Clubhouse,West,Individual,Ready to Move
122,Telangana,Hyderabad,Locality A,Villa,2,2023,88.58,4378.65,1991,Fully-Furnished,9,5,34,4,1,3,0,Guard,Clubhouse,West,Builder,Ready to Move
123,Karnataka,Mysore,Locality A,Villa,3,810,70.61,8717.66,2001,Semi-Furnished,18,17,24,6,5,4,2,Guard,Pool,West,Builder,Under Construction
124,Delhi,New Delhi,Locality C,Villa,4,3578,318.89,8912.41,2016,Semi-Furnished,18,14,9,5,3,2,1,Gated,Pool,North,Individual,Under Construction
125,Maharashtra,Nagpur,Locality A,Apartment,1,2305,176.04,7637.52,1995,Semi-Furnished,8,6,30,6,4,3,0,None,Gym,East,Individual,Under Construction
126,Telangana,Hyderabad,Locality C,Villa,4,627,36.81,5870.9,1995,Semi-Furnished,19,23,30,4,2,1,0,Gated,Clubhouse,South,Builder,Ready to Move
127,Karnataka,Mysore,Locality A,Apartment,5,1189,91.75,7716.99,1998,Semi-Furnished,14,23,27,9,7,3,2,Guard,None,West,Individual,Under Construction
128,Telangana,Hyderabad,Locality B,Villa,1,2138,115.36,5395.87,1996,Fully-Furnished,5,9,29,4,4,4,2,CCTV,Clubhouse,South,Builder,Ready to Move
129,Tamil Nadu,Coimbatore,Locality A,Villa,5,1241,106.25,8561.74,1990,Semi-Furnished,13,22,35,8,7,1,0,Gated,Gym,West,Individual,Ready to Move
130,Maharashtra,Nagpur,Locality B,Independent House,5,1202,108.98,9066.14,1993,Unfurnished,6,14,32,7,5,2,1,Gated,Pool,North,Individual,Ready to Move
131,Maharashtra,Mumbai,Locality C,Villa,1,924,81.8,8853.3,2010,Fully-Furnished,8,21,15,1,2,2,2,Guard,Gym,West,Agent,Under Construction
132,Tamil Nadu,Chennai,Locality C,Independent House,4,3128,221.25,7073.33,1997,Unfurnished,13,23,28,5,8,1,0,None,Clubhouse,West,Individual,Ready to Move
133,Telangana,Hyderabad,Locality C,Independent House,2,2824,191.23,6771.68,2008,Fully-Furnished,5,9,17,4,4,3,2,CCTV,Pool,West,Builder,Under Construction
134,Telangana,Hyderabad,Locality A,Apartment,1,3908,385.17,9855.95,1993,Unfurnished,18,14,32,2,3,1,1,Gated,None,West,Agent,Under Construction
135,Karnataka,Mysore,Locality A,Apartment,5,1280,121.88,9521.78,2007,Fully-Furnished,14,22,18,2,1,4,2,CCTV,None,South,Individual,Under Construction
136,Delhi,New Delhi,Locality C,Villa,1,1185,93.32,7874.86,2001,Unfurnished,13,12,24,3,7,3,0,CCTV,None,South,Agent,Ready to Move
137,Telangana,Hyderabad,Locality A,Villa,3,2259,133.74,5920.36,2017,Semi-Furnished,15,24,8,6,9,2,0,Guard,Pool,East,Agent,Ready to Move
138,Telangana,Hyderabad,Locality A,Villa,3,960,82.07,8549.11,2008,Fully-Furnished,12,19,17,1,8,3,2,Gated,None,North,Agent,Under Construction
139,Karnataka,Mysore,Locality B,Independent House,4,2676,223.68,8358.77,2021,Unfurnished,10,18,4,1,4,4,1,Guard,Clubhouse,East,Builder,Ready to Move
140,Tamil Nadu,Chennai,Locality B,Apartment,4,3047,122.84,4031.38,2003,Unfurnished,11,20,22,6,1,2,0,Guard,Clubhouse,East,Builder,Under Construction
141,Delhi,New Delhi,Locality C,Villa,2,1624,100.85,6209.86,2013,Unfurnished,6,12,12,4,4,2,1,Guard,Gym,South,Builder,Under Construction
142,Telangana,Hyderabad,Locality B,Independent House,1,687,43.46,6326.04,1993,Unfurnished,16,24,32,1,7,3,0,None,None,South,Builder,Under Construction
143,Karnataka,Bangalore,Locality B,Villa,4,2706,242.2,8950.3,2013,Semi-Furnished,4,23,12,1,3,2,0,None,Gym,West,Builder,Ready to Move
144,Maharashtra,Nagpur,Locality B,Independent House,2,3028,188.6,6228.53,2022,Fully-Furnished,15,10,3,1,9,4,0,Guard,Pool,West,Agent,Ready to Move
145,Maharashtra,Pune,Locality B,Apartment,5,3971,202.79,5106.86,2019,Semi-Furnished,17,17,6,2,3,1,1,Guard,Gym,East,Builder,Ready to Move
146,Karnataka,Bangalore,Locality B,Villa,5,1080,73.12,6770.4,1999,Semi-Furnished,7,11,26,4,1,1,0,CCTV,Clubhouse,North,Individual,Under Construction
147,Maharashtra,Pune,Locality B,Villa,4,1185,56.74,4788.1,2014,Semi-Furnished,7,7,11,9,4,4,0,Guard,None,South,Builder,Under Construction
148,Karnataka,Bangalore,Locality B,Independent House,4,704,34.77,4938.29,2009,Unfurnished,4,22,16,4,8,3,1,Gated,Clubhouse,East,Builder,Ready to Move
149,Karnataka,Mysore,Locality A,Apartment,4,3774,179.94,4767.93,2015,Semi-Furnished,18,9,10,7,5,2,1,Guard,Clubhouse,South,Individual,Under Construction
150,Maharashtra,Nagpur,Locality B,Apartment,1,870,84.24,9682.22,1993,Fully-Furnished,1,21,32,9,9,1,2,None,Gym,North,Builder,Under Construction
151,Karnataka,Bangalore,Locality A,Apartment,1,2204,160.04,7261.23,1990,Semi-Furnished,16,6,35,6,6,2,1,CCTV,Pool,West,Agent,Ready to Move
152,Telangana,Hyderabad,Locality A,Villa,4,843,51.73,6135.84,2021,Fully-Furnished,4,18,4,3,3,3,2,None,Pool,East,Individual,Ready to Move
153,Telangana,Hyderabad,Locality B,Independent House,3,3151,305.01,9679.83,1991,Unfurnished,10,24,34,8,1,3,0,Guard,Pool,East,Agent,Ready to Move
154,Delhi,New Delhi,Locality A,Apartment,3,1701,147.2,8653.67,1999,Fully-Furnished,9,19,26,3,8,4,0,Guard,None,South,Builder,Under Construction
155,Telangana,Hyderabad,Locality C,Apartment,4,967,48.31,4996.21,2022,Fully-Furnished,5,8,3,3,3,3,0,CCTV,Pool,South,Builder,Ready to Move
156,Maharashtra,Nagpur,Locality B,Villa,1,3361,218.69,6506.57,2019,Semi-Furnished,5,7,6,7,5,1,0,Gated,None,North,Builder,Under Construction
157,Tamil Nadu,Chennai,Locality A,Independent House,4,3248,297.16,9149.06,1995,Semi-Furnished,15,16,30,4,6,2,2,None,Gym,North,Builder,Under Construction
158,Delhi,New Delhi,Locality C,Villa,4,1087,77.75,7152.61,2022,Unfurnished,19,19,3,5,8,2,0,CCTV,Pool,East,Individual,Ready to Move
159,Maharashtra,Mumbai,Locality B,Independent House,3,3167,287.01,9062.42,2005,Fully-Furnished,7,10,20,3,1,4,1,Gated,None,West,Individual,Under Construction
160,Delhi,New Delhi,Locality C,Apartment,2,3063,216.74,7075.93,2003,Fully-Furnished,13,19,22,6,5,3,0,CCTV,Clubhouse,North,Builder,Ready to Move
161,Delhi,New Delhi,Locality C,Independent House,3,2954,137.83,4665.94,1997,Semi-Furnished,14,24,28,8,6,2,1,Gated,Gym,West,Builder,Under Construction
162,Maharashtra,Nagpur,Locality C,Apartment,3,3494,297.82,8523.77,1996,Fully-Furnished,19,19,29,9,4,1,1,None,Pool,West,Builder,Ready to Move
163,Tamil Nadu,Coimbatore,Locality C,Apartment,1,3483,189.87,5451.36,2014,Fully-Furnished,9,18,11,1,8,4,1,CCTV,Gym,West,Agent,Under Construction
